"word","type","pronunciation","definition_vn","unit"
"Wealth","noun","/welθ/","Sự giàu có","Daily"
"Health","noun","/helθ/","Sức khỏe","Daily"
"Beauty","noun","/ˈbjuː.ti/","Vẻ đẹp","Daily"
"Style","noun","/staɪl/","Phong cách","Daily"
"Tradition","noun","/trəˈdɪʃ.ən/","Truyền thống","Daily"
"Culture","noun","/ˈkʌl.tʃər/","Văn hóa","Daily"
"Religion","noun","/rɪˈlɪdʒ.ən/","Tôn giáo","Daily"
"Politics","noun","/ˈpɒl.ə.tɪks/","Chính trị","Daily"
"Economics","noun","/ˌiː.kəˈnɒm.ɪks/","Kinh tế học","Daily"
"Technology","noun","/tekˈnɒl.ə.dʒi/","Công nghệ","Daily"
"Science","noun","/ˈsaɪ.əns/","Khoa học","Daily"
"Literature","noun","/ˈlɪt.rə.tʃər/","Văn học","Daily"
"Education","noun","/ˌedʒ.ʊˈkeɪ.ʃən/","Giáo dục","Daily"
"Experience","noun","/ɪkˈspɪə.ri.əns/","Trải nghiệm","Daily"
"Memory","noun","/ˈmem.ər.i/","Ký ức","Daily"
"Dream","noun","/driːm/","Ước mơ","Daily"
"Reality","noun","/riˈæl.ə.ti/","Thực tế","Daily"
"Nature","noun","/ˈneɪ.tʃər/","Tự nhiên","Daily"
"Environment","noun","/ɪnˈvaɪ.rən.mənt/","Môi trường","Daily"
"Atmosphere","noun","/ˈæt.mə.sfɪər/","Bầu không khí","Daily"
"Temperature","noun","/ˈtem.prə.tʃər/","Nhiệt độ","Daily"
"Climate","noun","/ˈklaɪ.mət/","Khí hậu","Daily"
"Season","noun","/ˈsiː.zən/","Mùa","Daily"
"Weather","noun","/ˈweð.ər/","Thời tiết","Daily"
"Disaster","noun","/dɪˈzɑː.stər/","Thảm họa","Daily"
"Solution","noun","/səˈluː.ʃən/","Giải pháp","Daily"
"Problem","noun","/ˈprɒb.ləm/","Vấn đề","Daily"
"Conflict","noun","/ˈkɒn.flɪkt/","Sự xung đột","Daily"
"Resolution","noun","/ˌrez.əˈluː.ʃən/","Sự giải quyết","Daily"
"Communication","noun","/kəˌmjuː.nɪˈkeɪ.ʃən/","Giao tiếp","Daily"
"Interaction","noun","/ˌɪn.təˈræk.ʃən/","Sự tương tác","Daily"
"Relationship","noun","/rɪˈleɪ.ʃən.ʃɪp/","Mối quan hệ","Daily"
"Connection","noun","/kəˈnek.ʃən/","Sự kết nối","Daily"
"Partnership","noun","/ˈpɑːt.nə.ʃɪp/","Sự cộng tác, đối tác","Daily"
"Cooperation","noun","/kəʊˌɒp.ərˈeɪ.ʃən/","Sự hợp tác","Daily"
"Community","noun","/kəˈmjuː.nə.ti/","Cộng đồng","Daily"
"Society","noun","/səˈsaɪ.ə.ti/","Xã hội","Daily"
"Population","noun","/ˌpɒp.jəˈleɪ.ʃən/","Dân số","Daily"
"Nationality","noun","/ˌnæʃ.ənˈæl.ə.ti/","Quốc tịch","Daily"
"Civilization","noun","/ˌsɪv.əl.aɪˈzeɪ.ʃən/","Nền văn minh","Daily"
"Heritage","noun","/ˈher.ɪ.tɪdʒ/","Di sản","Daily"
"Liberty","noun","/ˈlɪb.ə.ti/","Quyền tự do","Daily"
"Justice","noun","/ˈdʒʌs.tɪs/","Công lý","Daily"
"Charity","noun","/ˈtʃær.ə.ti/","Lòng từ thiện","Daily"
"Donation","noun","/dəʊˈneɪ.ʃən/","Sự quyên góp","Daily"
"Volunteer","noun","/ˌvɒl.ənˈtɪər/","Tình nguyện viên","Daily"
"Influence","noun","/ˈɪn.flu.əns/","Sự ảnh hưởng","Daily"
"Authority","noun","/ɔːˈθɒr.ə.ti/","Quyền lực","Daily"
"Leadership","noun","/ˈliː.də.ʃɪp/","Lãnh đạo","Daily"
"Government","noun","/ˈɡʌv.ən.mənt/","Chính phủ","Daily"
"Policy","noun","/ˈpɒl.ə.si/","Chính sách","Daily"
"Regulation","noun","/ˌreɡ.jəˈleɪ.ʃən/","Quy định","Daily"
"Law","noun","/lɔː/","Luật pháp","Daily"
"Right","noun","/raɪt/","Quyền lợi","Daily"
"Duty","noun","/ˈdjuː.ti/","Nghĩa vụ","Daily"
"Privacy","noun","/ˈprɪv.ə.si/","Sự riêng tư","Daily"
"Ethic","noun","/ˈeθ.ɪk/","Đạo đức","Daily"
"Morality","noun","/məˈræl.ə.ti/","Luân lý","Daily"
"Philosophy","noun","/fɪˈlɒs.ə.fi/","Triết học","Daily"
"Psychology","noun","/saɪˈkɒl.ə.dʒi/","Tâm lý học","Daily"
"Sociology","noun","/ˌsəʊ.siˈɒl.ə.dʒi/","Xã hội học","Daily"
"History","noun","/ˈhɪs.tər.i/","Lịch sử","Daily"
"Geography","noun","/dʒiˈɒɡ.rə.fi/","Địa lý","Daily"
"Economy","noun","/iˈkɒn.ə.mi/","Nền kinh tế","Daily"
"Finance","noun","/ˈfaɪ.næns/","Tài chính","Daily"
"Investment","noun","/ɪnˈvest.mənt/","Sự đầu tư","Daily"
"Entrepreneur","noun","/ˌɒn.trə.prəˈnɜːr/","Doanh nhân","Daily"
"Startup","noun","/ˈstɑːt.ʌp/","Khởi nghiệp","Daily"
"Corporation","noun","/ˌkɔː.pərˈeɪ.ʃən/","Tập đoàn","Daily"
"Market","noun","/ˈmɑː.kɪt/","Thị trường","Daily"
"Competition","noun","/ˌkɒm.pəˈtɪʃ.ən/","Sự cạnh tranh","Daily"
"Consumer","noun","/kənˈsjuː.mər/","Người tiêu dùng","Daily"
"Service","noun","/ˈsɜː.vɪs/","Dịch vụ","Daily"
"Product","noun","/ˈprɒd.ʌkt/","Sản phẩm","Daily"
"Manufacture","verb","/ˌmæn.jəˈfæk.tʃər/","Sản xuất","Daily"
"Trade","noun","/treɪd/","Thương mại","Daily"
"Export","noun","/ˈek.spɔːt/","Xuất khẩu","Daily"
"Import","noun","/ˈɪm.pɔːt/","Nhập khẩu","Daily"
"Logistics","noun","/ləˈdʒɪs.tɪks/","Hậu cần","Daily"
"Strategy","noun","/ˈstræt.ə.dʒi/","Chiến lược","Daily"
"Innovation","noun","/ˌɪn.əˈveɪ.ʃən/","Sự đổi mới","Daily"
"Efficiency","noun","/ɪˈfɪʃ.ən.si/","Sự hiệu quả","Daily"
"Sustainability","noun","/səˌsteɪ.nəˈbɪl.ə.ti/","Sự bền vững","Daily"
"Global","adj","/ˈɡləʊ.bəl/","Toàn cầu","Daily"
"Universal","adj","/ˌjuː.nɪˈvɜː.səl/","Phổ quát","Daily"
"Local","adj","/ˈləʊ.kəl/","Địa phương","Daily"
"Digital","adj","/ˈdɪdʒ.ɪ.təl/","Kỹ thuật số","Daily"
"Virtual","adj","/ˈvɜː.tʃu.əl/","Ảo","Daily"
"Smart","adj","/smɑːt/","Thông minh","Daily"
"Mobile","adj","/ˈməʊ.baɪl/","Di động","Daily"
"Wireless","adj","/ˈwaɪə.ləs/","Không dây","Daily"
"Online","adj","/ˌɒnˈlaɪn/","Trực tuyến","Daily"
"Interactive","adj","/ˌɪn.təˈræk.tɪv/","Có tính tương tác","Daily"
"Advanced","adj","/ədˈvɑːnst/","Tiên tiến","Daily"
"Basic","adj","/ˈbeɪ.sɪk/","Cơ bản","Daily"
"Complex","adj","/ˈkɒm.pleks/","Phức tạp","Daily"
"Simple","adj","/ˈsɪm.pl̩/","Đơn giản","Daily"
"Flexible","adj","/ˈflek.sə.bl̩/","Linh hoạt","Daily"
"Fixed","adj","/fɪkst/","Cố định","Daily"
"Dynamic","adj","/daɪˈnæm.ɪk/","Năng động, biến đổi nhanh","Daily"
"Stable","adj","/ˈsteɪ.bl̩/","Ổn định","Daily"
"Efficient","adj","/ɪˈfɪʃ.ənt/","Hiệu quả","Daily"
"Effective","adj","/ɪˈfek.tɪv/","Có kết quả tốt","Daily"
"Reliable","adj","/rɪˈlaɪ.ə.bl̩/","Đáng tin cậy","Daily"
"Secure","adj","/sɪˈkjʊər/","An toàn, bảo mật","Daily"
"Private","adj","/ˈpraɪ.vət/","Riêng tư","Daily"
"Public","adj","/ˈpʌb.lɪk/","Công khai","Daily"
"General","adj","/ˈdʒen.ər.əl/","Chung","Daily"
"Specific","adj","/spəˈsɪf.ɪk/","Cụ thể","Daily"
"Essential","adj","/ɪˈsen.ʃəl/","Thiết yếu","Daily"
"Crucial","adj","/ˈkruː.ʃəl/","Quan trọng, then chốt","Daily"
"Significant","adj","/sɪɡˈnɪf.ɪ.kənt/","Có ý nghĩa lớn","Daily"
"Excellent","adj","/ˈek.səl.ənt/","Xuất sắc","Daily"
"Average","adj","/ˈæv.ər.ɪdʒ/","Trung bình","Daily"
"Poor","adj","/pɔːr/","Kém, nghèo","Daily"
"Wealthy","adj","/ˈwel.θi/","Giàu có","Daily"
"Healthy","adj","/ˈhel.θi/","Khỏe mạnh","Daily"
"Ancient","adj","/ˈeɪn.ʃənt/","Cổ xưa","Daily"
"Modern","adj","/ˈmɒd.ən/","Hiện đại","Daily"
"Future","adj","/ˈfjuː.tʃər/","Thuộc về tương lai","Daily"
"Past","adj","/pɑːst/","Thuộc về quá khứ","Daily"
"Temporary","adj","/ˈtem.pər.ər.i/","Tạm thời","Daily"
"Permanent","adj","/ˈpɜː.mə.nənt/","Vĩnh viễn","Daily"
"Brief","adj","/briːf/","Ngắn gọn","Daily"
"Infinite","adj","/ˈɪn.fɪ.nət/","Vô tận","Daily"
"Multiple","adj","/ˈmʌl.tɪ.pl̩/","Nhiều, đa dạng","Daily"
"Individual","adj","/ˌɪn.dɪˈvɪdʒ.u.əl/","Cá nhân","Daily"
"Collective","adj","/kəˈlek.tɪv/","Tập thể","Daily"
"Formal","adj","/ˈfɔː.məl/","Trang trọng","Daily"
"Informal","adj","/ɪnˈfɔː.məl/","Thân mật, không trang trọng","Daily"
"Logical","adj","/ˈlɒdʒ.ɪ.kəl/","Hợp lý","Daily"
"Random","adj","/ˈræn.dəm/","Ngẫu nhiên","Daily"
"Absolute","adj","/ˈæb.sə.luːt/","Tuyệt đối","Daily"
"Relative","adj","/ˈrel.ə.tɪv/","Tương đối","Daily"
"Consistent","adj","/kənˈsɪs.tənt/","Nhất quán","Daily"
"Contradictory","adj","/ˌkɒn.trəˈdɪk.tər.i/","Mâu thuẫn","Daily"
"Accurate","adj","/ˈæk.jə.rət/","Chính xác","Daily"
"Vague","adj","/veɪɡ/","Mơ hồ","Daily"
"Obvious","adj","/ˈɒb.vi.əs/","Hiển nhiên","Daily"
"Hidden","adj","/ˈhɪd.n̩/","Bị ẩn, dấu kín","Daily"
"Diverse","adj","/daɪˈvɜːs/","Đa dạng","Daily"
"Unique","adj","/juːˈniːk/","Độc nhất","Daily"
"Common","adj","/ˈkɒm.ən/","Phổ biến","Daily"
"Rare","adj","/reər/","Hiếm","Daily"
"Standard","adj","/ˈstæn.dəd/","Tiêu chuẩn","Daily"
"Exceptional","adj","/ɪkˈsep.ʃən.əl/","Ngoại lệ, khác biệt","Daily"
"Natural","adj","/ˈnætʃ.ər.əl/","Tự nhiên","Daily"
"Artificial","adj","/ˌɑː.tɪˈfɪʃ.əl/","Nhân tạo","Daily"
"Actual","adj","/ˈæk.tʃu.əl/","Thực tế","Daily"
"Virtual","adj","/ˈvɜː.tʃu.əl/","Ảo","Daily"
"Practical","adj","/ˈpræk.tɪ.kəl/","Thực tiễn","Daily"
"Theoretical","adj","/ˌθɪəˈret.ɪ.kəl/","Lý thuyết","Daily"
"Possible","adj","/ˈpɒs.ə.bl̩/","Có khả năng","Daily"
"Impossible","adj","/ɪmˈpɒs.ə.bl̩/","Không thể","Daily"
"Probable","adj","/ˈprɒb.ə.bl̩/","Có xác suất cao","Daily"
"Doubtful","adj","/ˈdaʊt.fəl/","Đầy nghi ngờ","Daily"
"Certain","adj","/ˈsɜː.tən/","Chắc chắn","Daily"
"Uncertain","adj","/ʌnˈsɜː.tən/","Không chắc chắn","Daily"
"Necessary","adj","/ˈnes.ə.ser.i/","Cần thiết","Daily"
"Optional","adj","/ˈɒp.ʃən.əl/","Tùy chọn","Daily"
"Mandatory","adj","/ˈmæn.də.tər.i/","Bắt buộc","Daily"
"Legal","adj","/ˈliː.ɡəl/","Hợp pháp","Daily"
"Illegal","adj","/ɪˈliː.ɡəl/","Bất hợp pháp","Daily"
"Ethical","adj","/ˈeθ.ɪ.kəl/","Thuộc về đạo đức","Daily"
"Fair","adj","/feər/","Công bằng","Daily"
"Biased","adj","/ˈbaɪ.əst/","Lệch lạc, không công bằng","Daily"
"Neutral","adj","/ˈnjuː.trəl/","Trung lập","Daily"
"Objective","adj","/əbˈdʒek.tɪv/","Khách quan","Daily"
"Subjective","adj","/səbˈdʒek.tɪv/","Chủ quan","Daily"
"Critical","adj","/ˈkrɪt.ɪ.kəl/","Phê bình, then chốt","Daily"
"Constructive","adj","/kənˈstrʌk.tɪv/","Mang tính xây dựng","Daily"
"Positive","adj","/ˈpɒz.ə.tɪv/","Tích cực","Daily"
"Negative","adj","/ˈneɡ.ə.tɪv/","Tiêu cực","Daily"
"Optimistic","adj","/ˌɒp.tɪˈmɪs.tɪk/","Lạc quan","Daily"
"Pessimistic","adj","/ˌpes.ɪˈmɪs.tɪk/","Bi quan","Daily"
"Confident","adj","/ˈconfɪdənt/","Tự tin","Daily"
"Anxious","adj","/ˈæŋk.ʃəs/","Lo lắng","Daily"
"Relaxed","adj","/rɪˈlækst/","Thư giãn","Daily"
"Intense","adj","/ɪnˈtens/","Dữ dội, căng thẳng","Daily"
"Harmonious","adj","/hɑːˈməʊ.ni.əs/","Hòa hợp","Daily"
"Conflicting","adj","/kənˈflɪk.tɪŋ/","Xung đột","Daily"
"Helpful","adj","/ˈhelp.fəl/","Giúp ích","Daily"
"Harmful","adj","/ˈhɑːm.fəl/","Có hại","Daily"
"Productive","adj","/prəˈdʌk.tɪv/","Năng suất","Daily"
"Creative","adj","/kriˈeɪ.tɪv/","Sáng tạo","Daily"
"Innovative","adj","/ˈɪn.ə.veɪ.tɪv/","Đổi mới","Daily"
"Traditional","adj","/trəˈdɪʃ.ən.əl/","Truyền thống","Daily"
"Modern","adj","/ˈmɒd.ən/","Hiện đại","Daily"
"Ancient","adj","/ˈeɪn.ʃənt/","Cổ kính","Daily"
